problem_name,has_int
ADLITTLE,false
AFIRO,true
AGG,false
AGG2,false
AGG3,false
BANDM,false
BEACONFD,false
BLEND,true
BNL1,false
BOEING1,false
BOEING2,false
BORE3D,false
BRANDY,false
CAPRI,false
DEGEN2,false
E226,false
ETAMACRO,false
PILOT4,false
FINNIS,false
FIT1P,true
FORPLAN,false
GANGES,false
GFRD-PNC,false
GROW15,true
GROW22,true
GROW7,true
ISRAEL,true
KB2,true
LOTFI,true
MODSZK1,false
PEROLD,false
PILOT-WE,false
PILOT4,false
QAP8,true
RECIPELP,false
SC105,false
SC205,false
SC50A,false
SC50B,false
SCAGR25,true
SCAGR7,true
SCFXM1,false
SCFXM2,false
SCFXM3,false
SCORPION,false
SCRS8,false
SCSD1,true
SCSD6,true
SCSD8,true
SCTAP1,true
SCTAP2,true
SCTAP3,true
SEBA,false
SHARE1B,true
SHARE2B,true
SHELL,false
SHIP04L,false
SHIP04S,false
SHIP08S,false
SHIP12S,false
SIERRA,false
STAIR,false
STANDATA,false
STANDGUB,false
STANDMPS,false
STOCFOR1,true
STOCFOR2,true
VTP-BASE,false
